Order ID,Product,Quantity Ordered,Price Each,Order,,Time,Purchase Address,,,,,Date
150394,AAA Batteries (4-pack),1,2.99,01-01-2019,,09:08:00,"291 Lincoln St, San Francisco, CA 94016",,,,,01/01/19
144537,Bose SoundSport Headphones,1,99.99,01-01-2019,,09:12:00,"640 Spruce St, Boston, MA 02215",,,,,01/01/19
147519,AAA Batteries (4-pack),2,2.99,01-01-2019,,09:18:00,"937 Highland St, New York City, NY 10001",,,,,01/01/19
146459,Lightning Charging Cable,2,14.95,01-01-2019,,09:21:00,"853 Ridge St, Boston, MA 02215",,,,,01/01/19
142134,Google Phone,1,600,01-01-2019,,09:23:00,"834 4th St, Dallas, TX 75001",,,,,01/01/19
149926,iPhone,1,700,01-01-2019,,09:33:00,"649 Sunset St, Los Angeles, CA 90001",,,,,01/01/19
146112,USB-C Charging Cable,1,11.95,01-01-2019,,09:36:00,"611 Elm St, New York City, NY 10001",,,,,01/01/19
150393,Lightning Charging Cable,1,14.95,01-01-2019,,09:37:00,"812 Jefferson St, Los Angeles, CA 90001",,,,,01/01/19
149378,AA Batteries (4-pack),2,3.84,01-01-2019,,09:38:00,"469 Hill St, San Francisco, CA 94016",,,,,01/01/19
147758,USB-C Charging Cable,1,11.95,01-01-2019,,09:48:00,"90 13th St, Boston, MA 02215",,,,,01/01/19
142439,Flatscreen TV,1,300,01-01-2019,,09:58:00,"818 Lincoln St, New York City, NY 10001",,,,,01/01/19
145165,27in FHD Monitor,1,149.99,01-01-2019,,09:58:00,"994 13th St, Boston, MA 02215",,,,,01/01/19
146100,Wired Headphones,1,11.99,01-01-2019,,10:02:00,"8 Jackson St, Los Angeles, CA 90001",,,,,01/01/19
149929,27in 4K Gaming Monitor,1,389.99,01-01-2019,,10:02:00,"610 Walnut St, Austin, TX 73301",,,,,01/01/19
143342,USB-C Charging Cable,1,11.95,01-01-2019,,10:06:00,"610 Walnut St, Austin, TX 73301",,,,,01/01/19
143699,27in 4K Gaming Monitor,1,389.99,01-01-2019,,10:08:00,"63 Cherry St, Los Angeles, CA 90001",,,,,01/01/19
149579,Macbook Pro Laptop,1,1700,01-01-2019,,10:09:00,"370 Lakeview St, Austin, TX 73301",,,,,01/01/19
142534,AA Batteries (4-pack),3,3.84,01-01-2019,,10:11:00,"100 Cherry St, New York City, NY 10001",,,,,01/01/19
148978,USB-C Charging Cable,1,11.95,01-01-2019,,10:12:00,"938 14th St, Boston, MA 02215",,,,,01/01/19
145526,ThinkPad Laptop,1,999.99,01-01-2019,,10:16:00,"530 7th St, Los Angeles, CA 90001",,,,,01/01/19
141613,AAA Batteries (4-pack),1,2.99,01-01-2019,,10:21:00,"274 2nd St, Atlanta, GA 30301",,,,,01/01/19
144902,27in 4K Gaming Monitor,1,389.99,01-01-2019,,10:23:00,"125 Center St, New York City, NY 10001",,,,,01/01/19
142264,LG Dryer,1,600,01-01-2019,,10:27:00,"68 Hickory St, Seattle, WA 98101",,,,,01/01/19
141242,Bose SoundSport Headphones,1,99.99,01-01-2019,,10:30:00,"462 1st St, Los Angeles, CA 90001",,,,,01/01/19
144505,Apple Airpods Headphones,1,150,01-01-2019,,10:31:00,"447 Cedar St, Seattle, WA 98101",,,,,01/01/19
145769,Apple Airpods Headphones,1,150,01-01-2019,,10:32:00,"505 Hickory St, Dallas, TX 75001",,,,,01/01/19
148060,AAA Batteries (4-pack),1,2.99,01-01-2019,,10:40:00,"386 Elm St, San Francisco, CA 94016",,,,,01/01/19
141319,Bose SoundSport Headphones,1,99.99,01-01-2019,,10:43:00,"789 Washington St, Los Angeles, CA 90001",,,,,01/01/19
143540,Apple Airpods Headphones,1,150,01-01-2019,,10:49:00,"534 Elm St, Atlanta, GA 30301",,,,,01/01/19
147963,Flatscreen TV,1,300,01-01-2019,,11:00:00,"4 1st St, Los Angeles, CA 90001",,,,,01/01/19
141663,iPhone,1,700,01-01-2019,,11:01:00,"4 1st St, Los Angeles, CA 90001",,,,,01/01/19
147013,AAA Batteries (4-pack),1,2.99,01-01-2019,,11:07:00,"632 13th St, Los Angeles, CA 90001",,,,,01/01/19
144284,AAA Batteries (4-pack),2,2.99,01-01-2019,,11:09:00,"847 Ridge St, Los Angeles, CA 90001",,,,,01/01/19
147574,Google Phone,1,600,01-01-2019,,11:10:00,"880 Washington St, Boston, MA 02215",,,,,01/01/19
143715,USB-C Charging Cable,1,11.95,01-01-2019,,11:16:00,"907 Highland St, San Francisco, CA 94016",,,,,01/01/19
141350,Lightning Charging Cable,1,14.95,01-01-2019,,11:17:00,"898 Lakeview St, Austin, TX 73301",,,,,01/01/19
146549,AA Batteries (4-pack),1,3.84,01-01-2019,,11:21:00,"889 Cedar St, Atlanta, GA 30301",,,,,01/01/19
148074,Google Phone,1,600,01-01-2019,,11:25:00,"566 Highland St, San Francisco, CA 94016",,,,,01/01/19
148074,USB-C Charging Cable,1,11.95,01-01-2019,,11:25:00,"81 10th St, Dallas, TX 75001",,,,,01/01/19
146899,Macbook Pro Laptop,1,1700,01-01-2019,,11:31:00,"836 Hill St, Dallas, TX 75001",,,,,01/01/19
144752,27in 4K Gaming Monitor,1,389.99,01-01-2019,,11:34:00,"121 Cherry St, Boston, MA 02215",,,,,01/01/19
149996,34in Ultrawide Monitor,1,379.99,01-01-2019,,11:35:00,"867 Hill St, New York City, NY 10001",,,,,01/01/19
147308,USB-C Charging Cable,1,11.95,01-01-2019,,11:36:00,"90 14th St, Portland, OR 97035",,,,,01/01/19
149783,USB-C Charging Cable,1,11.95,01-01-2019,,11:36:00,"313 14th St, Seattle, WA 98101",,,,,01/01/19
141518,Lightning Charging Cable,1,14.95,01-01-2019,,11:41:00,"363 Willow St, Los Angeles, CA 90001",,,,,01/01/19
146243,27in FHD Monitor,1,149.99,01-01-2019,,11:43:00,"756 Wilson St, Austin, TX 73301",,,,,01/01/19
147386,USB-C Charging Cable,1,11.95,01-01-2019,,11:44:00,"458 Forest St, San Francisco, CA 94016",,,,,01/01/19
144231,Wired Headphones,1,11.99,01-01-2019,,11:48:00,"895 Johnson St, Boston, MA 02215",,,,,01/01/19
146844,Flatscreen TV,1,300,01-01-2019,,11:55:00,"926 Cedar St, Portland, OR 97035",,,,,01/01/19
142160,Wired Headphones,1,11.99,01-01-2019,,11:57:00,"423 Elm St, San Francisco, CA 94016",,,,,01/01/19
148072,Flatscreen TV,1,300,01-01-2019,,12:00:00,"679 8th St, San Francisco, CA 94016",,,,,01/01/19
148450,iPhone,1,700,01-01-2019,,12:02:00,"223 North St, Atlanta, GA 30301",,,,,01/01/19
148450,Lightning Charging Cable,1,14.95,01-01-2019,,12:02:00,"741 11th St, San Francisco, CA 94016",,,,,01/01/19
143674,Wired Headphones,2,11.99,01-01-2019,,12:06:00,"38 Johnson St, Los Angeles, CA 90001",,,,,01/01/19
146590,AA Batteries (4-pack),3,3.84,01-01-2019,,12:09:00,"700 Jefferson St, New York City, NY 10001",,,,,01/01/19
149492,AA Batteries (4-pack),1,3.84,01-01-2019,,12:11:00,"842 8th St, Seattle, WA 98101",,,,,01/01/19
141558,27in 4K Gaming Monitor,1,389.99,01-01-2019,,12:14:00,"235 South St, Seattle, WA 98101",,,,,01/01/19
142257,iPhone,1,700,01-01-2019,,12:16:00,"875 Meadow St, New York City, NY 10001",,,,,01/01/19
142294,34in Ultrawide Monitor,1,379.99,01-01-2019,,12:17:00,"789 Lakeview St, Boston, MA 02215",,,,,01/01/19
149524,AA Batteries (4-pack),1,3.84,01-01-2019,,12:28:00,"548 Maple St, Boston, MA 02215",,,,,01/01/19
142914,iPhone,1,700,01-01-2019,,12:35:00,"326 12th St, Los Angeles, CA 90001",,,,,01/01/19
146857,Flatscreen TV,1,300,01-01-2019,,12:35:00,"207 8th St, Los Angeles, CA 90001",,,,,01/01/19
146431,Lightning Charging Cable,1,14.95,01-01-2019,,12:39:00,"816 Lake St, Boston, MA 02215",,,,,01/01/19
150038,20in Monitor,1,109.99,01-01-2019,,12:50:00,"240 River St, New York City, NY 10001",,,,,01/01/19
144679,Google Phone,1,600,01-01-2019,,12:51:00,"851 Maple St, San Francisco, CA 94016",,,,,01/01/19
144679,USB-C Charging Cable,1,11.95,01-01-2019,,12:51:00,"880 Lake St, Austin, TX 73301",,,,,01/01/19
147451,Google Phone,1,600,01-01-2019,,12:57:00,"131 Center St, San Francisco, CA 94016",,,,,01/01/19
147451,Wired Headphones,1,11.99,01-01-2019,,12:57:00,"238 Washington St, Los Angeles, CA 90001",,,,,01/01/19
142178,AAA Batteries (4-pack),1,2.99,01-01-2019,,12:59:00,"736 5th St, Seattle, WA 98101",,,,,01/01/19
147932,Macbook Pro Laptop,1,1700,01-01-2019,,12:59:00,"122 5th St, Portland, ME 04101",,,,,01/01/19
145319,Apple Airpods Headphones,1,150,01-01-2019,,13:05:00,"391 5th St, Portland, OR 97035",,,,,01/01/19
144460,Apple Airpods Headphones,1,150,01-01-2019,,13:08:00,"299 Park St, San Francisco, CA 94016",,,,,01/01/19
149912,Wired Headphones,1,11.99,01-01-2019,,13:10:00,"207 7th St, Los Angeles, CA 90001",,,,,01/01/19
149298,Bose SoundSport Headphones,1,99.99,01-01-2019,,13:14:00,"554 10th St, Los Angeles, CA 90001",,,,,01/01/19
142714,LG Washing Machine,1,600,01-01-2019,,13:15:00,"459 4th St, San Francisco, CA 94016",,,,,01/01/19
143897,Google Phone,1,600,01-01-2019,,13:15:00,"174 4th St, Los Angeles, CA 90001",,,,,01/01/19
145014,AAA Batteries (4-pack),2,2.99,01-01-2019,,13:18:00,"811 Hickory St, Portland, OR 97035",,,,,01/01/19
150236,Lightning Charging Cable,1,14.95,01-01-2019,,13:21:00,"947 Church St, San Francisco, CA 94016",,,,,01/01/19
148866,AAA Batteries (4-pack),2,2.99,01-01-2019,,13:25:00,"542 4th St, Dallas, TX 75001",,,,,01/01/19
142015,Apple Airpods Headphones,1,150,01-01-2019,,13:26:00,"539 Lakeview St, Dallas, TX 75001",,,,,01/01/19
143738,iPhone,1,700,01-01-2019,,13:29:00,"710 Johnson St, Boston, MA 02215",,,,,01/01/19
143738,Lightning Charging Cable,1,14.95,01-01-2019,,13:29:00,"844 Walnut St, Austin, TX 73301",,,,,01/01/19
147424,AAA Batteries (4-pack),1,2.99,01-01-2019,,13:30:00,"119 9th St, Seattle, WA 98101",,,,,01/01/19
142947,AA Batteries (4-pack),1,3.84,01-01-2019,,13:31:00,"157 1st St, New York City, NY 10001",,,,,01/01/19
141533,34in Ultrawide Monitor,1,379.99,01-01-2019,,13:34:00,"443 Washington St, Portland, OR 97035",,,,,01/01/19
143547,iPhone,1,700,01-01-2019,,13:36:00,"398 5th St, San Francisco, CA 94016",,,,,01/01/19
148287,Lightning Charging Cable,1,14.95,01-01-2019,,13:47:00,"285 Cherry St, Boston, MA 02215",,,,,01/01/19
142112,20in Monitor,1,109.99,01-01-2019,,13:51:00,"885 Walnut St, Atlanta, GA 30301",,,,,01/01/19
142112,Bose SoundSport Headphones,1,99.99,01-01-2019,,13:51:00,"493 5th St, Portland, OR 97035",,,,,01/01/19
142822,Lightning Charging Cable,1,14.95,01-01-2019,,13:51:00,"886 10th St, New York City, NY 10001",,,,,01/01/19
141333,27in FHD Monitor,1,149.99,01-01-2019,,13:58:00,"804 River St, San Francisco, CA 94016",,,,,01/01/19
143610,27in FHD Monitor,1,149.99,01-01-2019,,13:58:00,"865 Church St, San Francisco, CA 94016",,,,,01/01/19
149509,ThinkPad Laptop,1,999.99,01-01-2019,,14:04:00,"800 4th St, Los Angeles, CA 90001",,,,,01/01/19
144641,Lightning Charging Cable,2,14.95,01-01-2019,,14:06:00,"870 Cherry St, New York City, NY 10001",,,,,01/01/19
147462,USB-C Charging Cable,1,11.95,01-01-2019,,14:07:00,"869 Hill St, Atlanta, GA 30301",,,,,01/01/19
147198,Google Phone,1,600,01-01-2019,,14:12:00,"674 Main St, Dallas, TX 75001",,,,,01/01/19
147198,USB-C Charging Cable,1,11.95,01-01-2019,,14:12:00,"336 1st St, Boston, MA 02215",,,,,01/01/19
141705,Apple Airpods Headphones,1,150,01-01-2019,,14:15:00,"850 River St, Atlanta, GA 30301",,,,,01/01/19
147095,AAA Batteries (4-pack),2,2.99,01-01-2019,,14:17:00,"911 Madison St, San Francisco, CA 94016",,,,,01/01/19
147045,Flatscreen TV,1,300,01-01-2019,,14:20:00,"383 11th St, Seattle, WA 98101",,,,,01/01/19
141644,AAA Batteries (4-pack),1,2.99,01-01-2019,,14:21:00,"263 Meadow St, Los Angeles, CA 90001",,,,,01/01/19
148133,34in Ultrawide Monitor,1,379.99,01-01-2019,,14:23:00,"181 Lakeview St, Portland, OR 97035",,,,,01/01/19
143130,27in FHD Monitor,1,149.99,01-01-2019,,14:24:00,"392 Cherry St, Atlanta, GA 30301",,,,,01/01/19
150311,Flatscreen TV,1,300,01-01-2019,,14:25:00,"921 Highland St, Dallas, TX 75001",,,,,01/01/19
148757,AA Batteries (4-pack),1,3.84,01-01-2019,,14:26:00,"657 Lincoln St, Dallas, TX 75001",,,,,01/01/19
144857,20in Monitor,1,109.99,01-01-2019,,14:29:00,"20 Dogwood St, New York City, NY 10001",,,,,01/01/19
144858,34in Ultrawide Monitor,1,379.99,01-01-2019,,14:29:00,"20 Dogwood St, New York City, NY 10001",,,,,01/01/19
147220,Wired Headphones,1,11.99,01-01-2019,,14:30:00,"803 Church St, Seattle, WA 98101",,,,,01/01/19
148085,USB-C Charging Cable,1,11.95,01-01-2019,,14:31:00,"23 13th St, San Francisco, CA 94016",,,,,01/01/19
143394,Wired Headphones,1,11.99,01-01-2019,,14:32:00,"387 Hill St, Los Angeles, CA 90001",,,,,01/01/19
150335,iPhone,1,700,01-01-2019,,14:32:00,"785 9th St, San Francisco, CA 94016",,,,,01/01/19
150335,Apple Airpods Headphones,1,150,01-01-2019,,14:32:00,"375 Center St, Seattle, WA 98101",,,,,01/01/19
142350,iPhone,1,700,01-01-2019,,14:33:00,"685 West St, Atlanta, GA 30301",,,,,01/01/19
142350,Wired Headphones,1,11.99,01-01-2019,,14:33:00,"134 Hickory St, Portland, ME 04101",,,,,01/01/19
141647,20in Monitor,1,109.99,01-01-2019,,14:36:00,"82 Hickory St, San Francisco, CA 94016",,,,,01/01/19
143600,iPhone,1,700,01-01-2019,,14:38:00,"386 12th St, Boston, MA 02215",,,,,01/01/19
142505,USB-C Charging Cable,1,11.95,01-01-2019,,14:41:00,"49 Center St, Los Angeles, CA 90001",,,,,01/01/19
142917,Lightning Charging Cable,2,14.95,01-01-2019,,14:45:00,"32 West St, Los Angeles, CA 90001",,,,,01/01/19
145475,Wired Headphones,1,11.99,01-01-2019,,14:45:00,"711 11th St, San Francisco, CA 94016",,,,,01/01/19
147435,Wired Headphones,2,11.99,01-01-2019,,14:48:00,"777 North St, Boston, MA 02215",,,,,01/01/19
148423,USB-C Charging Cable,1,11.95,01-01-2019,,14:51:00,"378 Center St, San Francisco, CA 94016",,,,,01/01/19
146085,iPhone,1,700,01-01-2019,,14:52:00,"868 14th St, Los Angeles, CA 90001",,,,,01/01/19
147763,AAA Batteries (4-pack),1,2.99,01-01-2019,,14:55:00,"336 Jackson St, Los Angeles, CA 90001",,,,,01/01/19
141855,ThinkPad Laptop,1,999.99,01-01-2019,,15:01:00,"613 Ridge St, Dallas, TX 75001",,,,,01/01/19
148829,Bose SoundSport Headphones,1,99.99,01-01-2019,,15:25:00,"418 11th St, Boston, MA 02215",,,,,01/01/19
149163,Lightning Charging Cable,1,14.95,01-01-2019,,15:25:00,"223 Jackson St, Boston, MA 02215",,,,,01/01/19
144301,Flatscreen TV,1,300,01-01-2019,,15:27:00,"223 Jackson St, Boston, MA 02215",,,,,01/01/19
148356,AAA Batteries (4-pack),1,2.99,01-01-2019,,15:27:00,"502 Walnut St, Atlanta, GA 30301",,,,,01/01/19
150208,Bose SoundSport Headphones,1,99.99,01-01-2019,,15:28:00,"692 13th St, New York City, NY 10001",,,,,01/01/19
148658,USB-C Charging Cable,1,11.95,01-01-2019,,15:30:00,"807 Jackson St, San Francisco, CA 94016",,,,,01/01/19
146364,AAA Batteries (4-pack),1,2.99,01-01-2019,,15:32:00,"24 Park St, Dallas, TX 75001",,,,,01/01/19
144446,Apple Airpods Headphones,1,150,01-01-2019,,15:33:00,"176 Church St, Los Angeles, CA 90001",,,,,01/01/19
143497,Bose SoundSport Headphones,1,99.99,01-01-2019,,15:39:00,"667 Park St, New York City, NY 10001",,,,,01/01/19
147980,34in Ultrawide Monitor,1,379.99,01-01-2019,,15:41:00,"375 Johnson St, New York City, NY 10001",,,,,01/01/19
141877,USB-C Charging Cable,1,11.95,01-01-2019,,15:49:00,"755 Cherry St, Seattle, WA 98101",,,,,01/01/19
141329,USB-C Charging Cable,1,11.95,01-01-2019,,16:01:00,"240 Meadow St, Boston, MA 02215",,,,,01/01/19
144596,34in Ultrawide Monitor,1,379.99,01-01-2019,,16:05:00,"534 12th St, San Francisco, CA 94016",,,,,01/01/19
141407,Apple Airpods Headphones,1,150,01-01-2019,,16:06:00,"790 Hickory St, Portland, ME 04101",,,,,01/01/19
148767,Lightning Charging Cable,1,14.95,01-01-2019,,16:09:00,"141 Elm St, San Francisco, CA 94016",,,,,01/01/19
146910,Lightning Charging Cable,1,14.95,01-01-2019,,16:11:00,"940 8th St, New York City, NY 10001",,,,,01/01/19
144143,Lightning Charging Cable,1,14.95,01-01-2019,,16:16:00,"33 Jackson St, Dallas, TX 75001",,,,,01/01/19
145604,Google Phone,1,600,01-01-2019,,16:16:00,"830 Walnut St, Atlanta, GA 30301",,,,,01/01/19
142303,USB-C Charging Cable,1,11.95,01-01-2019,,16:23:00,"215 Park St, New York City, NY 10001",,,,,01/01/19
143412,USB-C Charging Cable,1,11.95,01-01-2019,,16:23:00,"34 Cedar St, Portland, OR 97035",,,,,01/01/19
145122,ThinkPad Laptop,1,999.99,01-01-2019,,16:26:00,"939 Lakeview St, Atlanta, GA 30301",,,,,01/01/19
149940,Lightning Charging Cable,1,14.95,01-01-2019,,16:31:00,"216 Meadow St, Boston, MA 02215",,,,,01/01/19
150088,34in Ultrawide Monitor,1,379.99,01-01-2019,,16:35:00,"200 14th St, San Francisco, CA 94016",,,,,01/01/19
144660,USB-C Charging Cable,1,11.95,01-01-2019,,16:36:00,"247 Forest St, Los Angeles, CA 90001",,,,,01/01/19
145112,34in Ultrawide Monitor,1,379.99,01-01-2019,,16:44:00,"110 13th St, Seattle, WA 98101",,,,,01/01/19
150175,34in Ultrawide Monitor,1,379.99,01-01-2019,,16:44:00,"946 12th St, Portland, ME 04101",,,,,01/01/19
146187,AA Batteries (4-pack),1,3.84,01-01-2019,,16:45:00,"103 14th St, San Francisco, CA 94016",,,,,01/01/19
143340,Lightning Charging Cable,1,14.95,01-01-2019,,16:46:00,"36 Highland St, Portland, ME 04101",,,,,01/01/19
143506,AA Batteries (4-pack),1,3.84,01-01-2019,,16:50:00,"890 6th St, Dallas, TX 75001",,,,,01/01/19
141265,Apple Airpods Headphones,1,150,01-01-2019,,16:52:00,"350 Main St, New York City, NY 10001",,,,,01/01/19
143593,AAA Batteries (4-pack),1,2.99,01-01-2019,,16:52:00,"397 Dogwood St, Atlanta, GA 30301",,,,,01/01/19
149793,Lightning Charging Cable,2,14.95,01-01-2019,,16:53:00,"793 5th St, San Francisco, CA 94016",,,,,01/01/19
145416,Lightning Charging Cable,1,14.95,01-01-2019,,16:59:00,"609 14th St, New York City, NY 10001",,,,,01/01/19
147102,Lightning Charging Cable,1,14.95,01-01-2019,,16:59:00,"81 Madison St, San Francisco, CA 94016",,,,,01/01/19
150087,Macbook Pro Laptop,1,1700,01-01-2019,,17:02:00,"209 North St, Atlanta, GA 30301",,,,,01/01/19
147685,AAA Batteries (4-pack),4,2.99,01-01-2019,,17:04:00,"207 1st St, San Francisco, CA 94016",,,,,01/01/19
144864,Apple Airpods Headphones,1,150,01-01-2019,,17:05:00,"145 Lakeview St, New York City, NY 10001",,,,,01/01/19
143384,Lightning Charging Cable,1,14.95,01-01-2019,,17:13:00,"910 Meadow St, San Francisco, CA 94016",,,,,01/01/19
144368,Apple Airpods Headphones,1,150,01-01-2019,,17:17:00,"74 7th St, San Francisco, CA 94016",,,,,01/01/19
148083,Wired Headphones,1,11.99,01-01-2019,,17:19:00,"154 7th St, Dallas, TX 75001",,,,,01/01/19
141596,Lightning Charging Cable,1,14.95,01-01-2019,,17:30:00,"970 Lakeview St, Boston, MA 02215",,,,,01/01/19
147592,iPhone,1,700,01-01-2019,,17:30:00,"440 South St, New York City, NY 10001",,,,,01/01/19
148130,AAA Batteries (4-pack),3,2.99,01-01-2019,,17:36:00,"971 Walnut St, Atlanta, GA 30301",,,,,01/01/19
146775,Lightning Charging Cable,1,14.95,01-01-2019,,17:40:00,"347 Hill St, Atlanta, GA 30301",,,,,01/01/19
142063,AAA Batteries (4-pack),1,2.99,01-01-2019,,17:45:00,"824 Madison St, Dallas, TX 75001",,,,,01/01/19
148442,AA Batteries (4-pack),2,3.84,01-01-2019,,17:45:00,"355 13th St, Los Angeles, CA 90001",,,,,01/01/19
148705,Macbook Pro Laptop,1,1700,01-01-2019,,17:52:00,"295 West St, New York City, NY 10001",,,,,01/01/19
149676,Flatscreen TV,1,300,01-01-2019,,17:53:00,"273 Hill St, Atlanta, GA 30301",,,,,01/01/19
147744,Bose SoundSport Headphones,1,99.99,01-01-2019,,17:55:00,"428 Cedar St, Los Angeles, CA 90001",,,,,01/01/19
144252,Wired Headphones,1,11.99,01-01-2019,,17:56:00,"728 Lakeview St, Los Angeles, CA 90001",,,,,01/01/19
147619,AA Batteries (4-pack),1,3.84,01-01-2019,,17:57:00,"574 Johnson St, San Francisco, CA 94016",,,,,01/01/19
149546,AA Batteries (4-pack),1,3.84,01-01-2019,,17:57:00,"179 West St, San Francisco, CA 94016",,,,,01/01/19
149546,Bose SoundSport Headphones,1,99.99,01-01-2019,,17:57:00,"480 Lakeview St, San Francisco, CA 94016",,,,,01/01/19
148600,Bose SoundSport Headphones,1,99.99,01-01-2019,,18:02:00,"445 4th St, Atlanta, GA 30301",,,,,01/01/19
144868,AA Batteries (4-pack),1,3.84,01-01-2019,,18:03:00,"792 Lakeview St, San Francisco, CA 94016",,,,,01/01/19
144158,Vareebadd Phone,1,400,01-01-2019,,18:04:00,"377 Meadow St, New York City, NY 10001",,,,,01/01/19
143131,Apple Airpods Headphones,1,150,01-01-2019,,18:07:00,"331 Center St, Seattle, WA 98101",,,,,01/01/19
146908,AAA Batteries (4-pack),1,2.99,01-01-2019,,18:09:00,"536 Walnut St, Boston, MA 02215",,,,,01/01/19
147689,AA Batteries (4-pack),1,3.84,01-01-2019,,18:09:00,"222 Lakeview St, San Francisco, CA 94016",,,,,01/01/19
142345,AAA Batteries (4-pack),2,2.99,01-01-2019,,18:11:00,"631 Elm St, Los Angeles, CA 90001",,,,,01/01/19
142574,USB-C Charging Cable,1,11.95,01-01-2019,,18:17:00,"186 Meadow St, New York City, NY 10001",,,,,01/01/19
146446,Wired Headphones,3,11.99,01-01-2019,,18:20:00,"485 Elm St, Los Angeles, CA 90001",,,,,01/01/19
144197,34in Ultrawide Monitor,1,379.99,01-01-2019,,18:22:00,"776 5th St, San Francisco, CA 94016",,,,,01/01/19
146305,Lightning Charging Cable,1,14.95,01-01-2019,,18:25:00,"112 Madison St, Los Angeles, CA 90001",,,,,01/01/19
146471,USB-C Charging Cable,1,11.95,01-01-2019,,18:29:00,"150 14th St, Seattle, WA 98101",,,,,01/01/19
146471,Wired Headphones,1,11.99,01-01-2019,,18:29:00,"51 10th St, Boston, MA 02215",,,,,01/01/19
149332,Apple Airpods Headphones,1,150,01-01-2019,,18:30:00,"895 Forest St, San Francisco, CA 94016",,,,,01/01/19
146703,USB-C Charging Cable,2,11.95,01-01-2019,,18:31:00,"450 Dogwood St, Boston, MA 02215",,,,,01/01/19
148854,Apple Airpods Headphones,1,150,01-01-2019,,18:31:00,"521 Park St, San Francisco, CA 94016",,,,,01/01/19
143099,Wired Headphones,1,11.99,01-01-2019,,18:34:00,"521 Park St, San Francisco, CA 94016",,,,,01/01/19
